Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,GarageCars,GarageArea,TotRmsAbvGrd,Fireplaces,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition,YearBuilt,YearRemodAdd,GarageYrBlt,YrSold,SalePrice
11,20,70,11200,5,5,1040,0,0,1040,1,0,1,0,3,1,0,906,0,134,1040,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,1,384,5,0,0,0,0,0,0,0,0,2,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,WD,Normal,1965,1965,1965,2008,129500
12,60,85,11924,9,5,1182,1142,0,2324,1,0,3,0,4,1,286,998,0,177,1175,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Hip,CompShg,WdShing,Wd Shng,Stone,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,3,736,11,2,147,21,0,0,0,0,0,7,Ex,Typ,Gd,BuiltIn,Fin,TA,TA,Y,NA,NA,NA,New,Partial,2005,2006,2005,2006,345000
13,20,NA,12968,5,6,912,0,0,912,1,0,1,0,2,1,0,737,0,175,912,RL,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,1,352,4,0,140,0,0,0,176,0,0,9,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,WD,Normal,1962,1962,1962,2008,144000
14,20,91,10652,7,5,1494,0,0,1494,0,0,2,0,3,1,306,0,0,1494,1494,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,3,840,7,1,160,33,0,0,0,0,0,8,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,New,Partial,2006,2007,2006,2007,279500
15,20,NA,10920,6,5,1253,0,0,1253,1,0,1,1,2,1,212,733,0,520,1253,RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,TA,Y,SBrkr,1,352,5,1,0,213,176,0,0,0,0,5,TA,Typ,Fa,Attchd,RFn,TA,TA,Y,NA,GdWo,NA,WD,Normal,1960,1960,1960,2008,157000
16,45,51,6120,7,8,854,0,0,854,0,0,1,0,2,1,0,0,0,832,832,RM,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseA,2,576,5,0,48,112,0,0,0,0,0,7,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,GdPrv,NA,WD,Normal,1929,2001,1991,2007,132000
17,20,NA,11241,6,7,1004,0,0,1004,1,0,1,0,2,1,180,578,0,426,1004,RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,2,480,5,1,0,0,0,0,0,0,700,3,TA,Typ,TA,Attchd,Fin,TA,TA,Y,NA,NA,Shed,WD,Normal,1970,1970,1970,2010,149000
18,90,72,10791,4,5,1296,0,0,1296,0,0,2,0,2,2,0,0,0,0,0,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,Slab,NA,NA,NA,NA,NA,GasA,TA,Y,SBrkr,2,516,6,0,0,0,0,0,0,0,500,10,TA,Typ,NA,CarPort,Unf,TA,TA,Y,NA,NA,Shed,WD,Normal,1967,1967,1967,2006,90000
19,20,66,13695,5,5,1114,0,0,1114,1,0,1,1,3,1,0,646,0,468,1114,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,2,576,6,0,0,102,0,0,0,0,0,6,Gd,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,WD,Normal,2004,2004,2004,2008,159000
20,20,70,7560,5,6,1339,0,0,1339,0,0,1,0,3,1,0,504,0,525,1029,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,Plywood,None,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,TA,Y,SBrkr,1,294,6,0,0,0,0,0,0,0,0,5,TA,Min1,NA,Attchd,Unf,TA,TA,Y,NA,MnPrv,NA,COD,Abnorml,1958,1965,1958,2009,139000
21,60,101,14215,8,5,1158,1218,0,2376,0,0,3,1,4,1,380,0,0,1158,1158,RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,3,853,9,1,240,154,0,0,0,0,0,11,Gd,Typ,Gd,BuiltIn,RFn,TA,TA,Y,NA,NA,NA,New,Partial,2005,2006,2005,2006,325300
22,45,57,7449,7,7,1108,0,0,1108,0,0,1,0,3,1,0,0,0,637,637,RM,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseF,1,280,6,1,0,0,205,0,0,0,0,6,Gd,Typ,Gd,Attchd,Unf,TA,TA,N,NA,GdPrv,NA,WD,Normal,1930,1950,1930,2007,139400
23,20,75,9742,8,5,1795,0,0,1795,0,0,2,0,3,1,281,0,0,1777,1777,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,2,534,7,1,171,159,0,0,0,0,0,9,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,2002,2002,2002,2008,230000
24,120,44,4224,5,7,1060,0,0,1060,1,0,1,0,3,1,0,840,0,200,1040,RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,2,572,6,1,100,110,0,0,0,0,0,6,TA,Typ,TA,Attchd,Unf,TA,TA,Y,NA,NA,NA,WD,Normal,1976,1976,1976,2007,129900
25,20,NA,8246,5,8,1060,0,0,1060,1,0,1,0,3,1,0,188,668,204,1060,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,None,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,GasA,Ex,Y,SBrkr,1,270,6,1,406,90,0,0,0,0,0,5,Gd,Typ,TA,Attchd,Unf,TA,TA,Y,NA,MnPrv,NA,WD,Normal,1968,2001,1968,2010,154000
26,20,110,14230,8,5,1600,0,0,1600,0,0,2,0,3,1,640,0,0,1566,1566,RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,3,890,7,1,0,56,0,0,0,0,0,7,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,2007,2007,2007,2009,256300
27,20,60,7200,5,7,900,0,0,900,0,1,1,0,3,1,0,234,486,180,900,RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,GasA,TA,Y,SBrkr,2,576,5,0,222,32,0,0,0,0,0,5,Gd,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,WD,Normal,1951,2000,2005,2010,134800
28,20,98,11478,8,5,1704,0,0,1704,1,0,2,0,3,1,200,1218,0,486,1704,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,3,772,7,1,0,50,0,0,0,0,0,5,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,2007,2008,2008,2010,306000
29,20,47,16321,5,6,1600,0,0,1600,1,0,1,0,2,1,0,1277,0,207,1484,RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,GasA,TA,Y,SBrkr,1,319,6,2,288,258,0,0,0,0,0,12,TA,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,1957,1997,1957,2006,207500
30,30,60,6324,4,6,520,0,0,520,0,0,1,0,1,1,0,0,0,520,520,RM,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Fa,N,SBrkr,1,240,4,0,49,0,87,0,0,0,0,5,Fa,Typ,NA,Detchd,Unf,Fa,TA,Y,NA,NA,NA,WD,Normal,1927,1950,1920,2008,68500
31,70,50,8500,4,4,649,668,0,1317,0,0,1,0,3,1,0,0,0,649,649,C (all),Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,Gambrel,CompShg,BrkFace,BrkFace,None,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,GasA,TA,N,SBrkr,1,250,6,0,0,54,172,0,0,0,0,7,TA,Typ,NA,Detchd,Unf,TA,Fa,N,NA,MnPrv,NA,WD,Normal,1920,1950,1920,2008,40000
32,20,NA,8544,5,6,1228,0,0,1228,0,0,1,1,3,1,0,0,0,1228,1228,RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,1,271,6,0,0,65,0,0,0,0,0,6,Gd,Typ,NA,Attchd,Unf,TA,TA,Y,NA,MnPrv,NA,WD,Normal,1966,2006,1966,2008,149350
33,20,85,11049,8,5,1234,0,0,1234,0,0,2,0,3,1,0,0,0,1234,1234,RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,2,484,7,0,0,30,0,0,0,0,0,1,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,2007,2007,2007,2008,179900
34,20,70,10552,5,5,1700,0,0,1700,0,1,1,1,4,1,0,1018,0,380,1398,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,2,447,6,1,0,38,0,0,0,0,0,4,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,1959,1959,1959,2010,165500
35,120,60,7313,9,5,1561,0,0,1561,1,0,2,0,2,1,246,1153,0,408,1561,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,2,556,6,1,203,47,0,0,0,0,0,8,Ex,Typ,Gd,Attchd,Fin,TA,TA,Y,NA,NA,NA,WD,Normal,2005,2005,2005,2007,277500
36,60,108,13418,8,5,1132,1320,0,2452,0,0,3,1,4,1,132,0,0,1117,1117,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,3,691,9,1,113,32,0,0,0,0,0,9,Gd,Typ,Gd,BuiltIn,Fin,TA,TA,Y,NA,NA,NA,WD,Normal,2004,2005,2004,2006,309000
37,20,112,10859,5,5,1097,0,0,1097,0,0,1,1,3,1,0,0,0,1097,1097,RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,2,672,6,0,392,64,0,0,0,0,0,6,TA,Typ,NA,Attchd,Unf,TA,TA,Y,NA,NA,NA,WD,Normal,1994,1995,1995,2009,145000
38,20,74,8532,5,6,1297,0,0,1297,0,1,1,0,3,1,650,1213,0,84,1297,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,2,498,5,1,0,0,0,0,0,0,0,10,TA,Typ,TA,Attchd,Fin,TA,TA,Y,NA,NA,NA,WD,Normal,1954,1990,1954,2009,153000
39,20,68,7922,5,7,1057,0,0,1057,1,0,1,0,3,1,0,731,0,326,1057,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,1,246,5,0,0,52,0,0,0,0,0,1,Gd,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,WD,Abnorml,1953,2007,1953,2010,109000
40,90,65,6040,4,5,1152,0,0,1152,0,0,2,0,2,2,0,0,0,0,0,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,Gable,CompShg,AsbShng,Plywood,None,TA,TA,PConc,NA,NA,NA,NA,NA,GasA,TA,N,FuseP,0,0,6,0,0,0,0,0,0,0,0,6,Fa,Typ,NA,NA,NA,NA,NA,N,NA,NA,NA,WD,AdjLand,1955,1955,NA,2008,82000
41,20,84,8658,6,5,1324,0,0,1324,0,0,2,0,3,1,101,643,0,445,1088,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,2,440,6,1,0,138,0,0,0,0,0,12,TA,Typ,TA,Attchd,RFn,TA,TA,Y,NA,GdWo,NA,WD,Abnorml,1965,1965,1965,2006,160000
42,20,115,16905,5,6,1328,0,0,1328,0,1,1,1,2,1,0,967,0,383,1350,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,GasA,Gd,Y,SBrkr,1,308,5,2,0,104,0,0,0,0,0,7,TA,Typ,Gd,Attchd,RFn,TA,TA,P,NA,NA,NA,WD,Normal,1959,1959,1959,2007,170000
43,85,NA,9180,5,7,884,0,0,884,1,0,1,0,2,1,0,747,93,0,840,RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,GasA,Gd,Y,SBrkr,2,504,5,0,240,0,0,0,0,0,0,12,Gd,Typ,NA,Attchd,RFn,TA,Gd,Y,NA,MnPrv,NA,WD,Normal,1983,1983,1983,2007,144000
44,20,NA,9200,5,6,938,0,0,938,1,0,1,0,3,1,0,280,491,167,938,RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,GasA,TA,Y,SBrkr,1,308,5,0,145,0,0,0,0,0,0,7,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,MnPrv,NA,WD,Normal,1975,1980,1977,2008,130250
45,20,70,7945,5,6,1150,0,0,1150,1,0,1,0,3,1,0,179,506,465,1150,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,GasA,Ex,Y,FuseA,1,300,6,0,0,0,0,0,0,0,0,5,TA,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,1959,1959,1959,2006,141000
46,120,61,7658,9,5,1752,0,0,1752,1,0,2,0,2,1,412,456,0,1296,1752,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,2,576,6,1,196,82,0,0,0,0,0,2,Ex,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,2005,2005,2005,2010,319900
47,50,48,12822,7,5,1518,631,0,2149,1,0,1,1,1,1,0,1351,0,83,1434,RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,2,670,6,1,168,43,0,0,198,0,0,8,Gd,Typ,Ex,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Abnorml,2003,2003,2003,2009,239686
48,20,84,11096,8,5,1656,0,0,1656,0,0,2,0,3,1,0,24,0,1632,1656,FV,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,3,826,7,0,0,146,0,0,0,0,0,7,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,WD,Normal,2006,2006,2006,2007,249700
49,190,33,4456,4,5,736,716,0,1452,0,0,2,0,2,3,0,0,0,736,736,RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,0,0,8,0,0,0,102,0,0,0,0,6,TA,Typ,NA,NA,NA,NA,NA,N,NA,NA,NA,New,Partial,1920,2008,NA,2009,113000
50,20,66,7742,5,7,955,0,0,955,1,0,1,0,3,1,0,763,0,192,955,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,1,386,6,0,0,0,0,0,0,0,0,1,TA,Typ,NA,Attchd,Unf,TA,TA,Y,NA,MnPrv,NA,WD,Normal,1966,1966,1966,2007,127000
